Epoch 140/150 | Train Acc: 0.7664 | Test Acc: 0.5008
Epoch 141/150 | Train Acc: 0.7704 | Test Acc: 0.4976
Epoch 142/150 | Train Acc: 0.7768 | Test Acc: 0.5048
Epoch 143/150 | Train Acc: 0.7648 | Test Acc: 0.4992
Epoch 144/150 | Train Acc: 0.7784 | Test Acc: 0.4984
Epoch 145/150 | Train Acc: 0.7816 | Test Acc: 0.4992
Epoch 146/150 | Train Acc: 0.7712 | Test Acc: 0.5064
Epoch 147/150 | Train Acc: 0.7744 | Test Acc: 0.5056
Epoch 148/150 | Train Acc: 0.7664 | Test Acc: 0.5032
Epoch 149/150 | Train Acc: 0.7712 | Test Acc: 0.4992
Epoch 150/150 | Train Acc: 0.7800 | Test Acc: 0.4960
